id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
11045671,57323247,Caitlin,Pittwater,-33.64802595,151.3135947,Entire home/apt,390,7,2,3/1/17,0.6,1,25,5,100
13497494,77408995,Kelly,Pittwater,-33.65181149,151.3225179,Entire home/apt,250,2,3,28/1/17,0.9,1,101,2,93
5894600,30613955,Tony And Colette,Pittwater,-33.67729445,151.3083196,Entire home/apt,850,2,0,,,1,0,2,
7663288,40226002,Sam,Pittwater,-33.63206924,151.3280362,Entire home/apt,141,2,6,28/1/17,0.33,1,344,1,97
6278245,3046924,Contemporary Hotels + Beach Houses,Pittwater,-33.61258423,151.3268378,Entire home/apt,1000,2,4,4/2/17,0.29,34,327,4,100
15525086,99822741,Alison,Pittwater,-33.67726737,151.2953937,Entire home/apt,250,4,1,3/1/17,0.33,1,1,4,80
10272778,32465309,Greg,Pittwater,-33.63839912,151.2957739,Entire home/apt,399,2,5,12/3/17,0.39,1,337,9,100
9494426,37561117,Melinda,Pittwater,-33.62696708,151.3288891,Entire home/apt,1000,7,1,15/12/16,0.27,1,362,6,100
9632154,25333548,Sue,Pittwater,-33.61847836,151.3315161,Entire home/apt,570,7,0,,,1,0,4,
11532982,24682014,Rodger,Pittwater,-33.60095777,151.3180052,Entire home/apt,451,2,7,28/1/17,0.79,1,351,8,100
11722615,30021442,Northern Beaches Holidays,Pittwater,-33.62695389,151.3379736,Entire home/apt,750,2,1,26/11/16,0.23,34,270,8,100
13099178,30021442,Northern Beaches Holidays,Pittwater,-33.62725602,151.3184289,Entire home/apt,551,2,10,4/2/17,1.02,34,208,6,100
13625600,1314935,Penny,Pittwater,-33.60043603,151.3253898,Entire home/apt,487,2,8,18/3/17,0.89,1,354,7,90
14672423,69755154,Greg,Pittwater,-33.65907387,151.3205017,Entire home/apt,501,6,3,21/1/17,0.45,1,186,4,100
15859145,58671947,Ann,Pittwater,-33.60302983,151.3013062,Entire home/apt,300,2,6,2/4/17,1.37,1,358,6,100
15919108,1239904,Julia,Pittwater,-33.63551523,151.3190197,Entire home/apt,551,5,0,,,1,349,3,
4582454,23597108,Helen,Pittwater,-33.66105115,151.3214197,Shared room,130,1,0,,,2,0,1,
10812656,55982618,Joy,Pittwater,-33.65092177,151.3172207,Entire home/apt,325,3,2,5/1/17,0.6,1,77,3,90
7795040,22179603,Natalie,Pittwater,-33.65035241,151.3214693,Entire home/apt,200,2,4,11/2/17,1.56,1,93,1,95
9610800,11561520,Veronika,Pittwater,-33.63364628,151.3191835,Entire home/apt,551,2,16,12/3/17,1.04,1,130,4,100
4041037,18061942,Lyndee,Pittwater,-33.63287189,151.3375325,Entire home/apt,451,2,24,25/3/17,1.78,1,351,4,96
7076226,20582809,Megan,Pittwater,-33.65106786,151.3163836,Entire home/apt,713,5,1,25/1/16,0.07,19,0,4,80
17480992,691586,Tarsha,Pittwater,-33.64458703,151.3240095,Entire home/apt,399,2,0,,,2,178,1,
9038152,12525064,Sally,Pittwater,-33.63095455,151.3162989,Entire home/apt,1150,6,0,,,2,0,5,
9224012,47959506,Hayley,Pittwater,-33.61934117,151.3334637,Entire home/apt,219,7,0,,,1,0,3,
12175980,65419686,Kerry,Pittwater,-33.6487175,151.3135391,Entire home/apt,255,14,0,,,1,0,4,
3994283,20630511,Alex,Pittwater,-33.65725588,151.318306,Entire home/apt,120,3,0,,,1,0,1,
4868526,25043085,Kane,Pittwater,-33.62179651,151.3387429,Entire home/apt,290,3,10,28/1/17,0.36,1,357,3,96
